STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,INST_TYPE_EDU,Type of educational institution,EDUCATION_LEV,Education level,AGE,Age,SUBJ_TYPE,Subject,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,STATISTICAL_OPERATION,Statistical operation,REF_PERIOD,Reference period,DECIMALS,Decimals
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,SAU,Saudi Arabia,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y11,11 years,OSTU,,,,L,Missing value; data exist but were not collected,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,AUS,Australia,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y6,6 years,OSTU,,,,K,Data included in another category,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,LTU,Lithuania,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y17,17 years,OSCH,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,CAN,Canada,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y9,9 years,OSTU,,,,K,Data included in another category,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,NLD,Netherlands,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y15,15 years,RELI,,,,K,Data included in another category,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,CHL,Chile,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y17,17 years,RELI,,1.21678,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,FRA,France,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y10,10 years,NCOMPUL,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,KOR,Korea,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y16,16 years,PHED,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,GRC,Greece,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y6,6 years,READ,,30,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,LUX,Luxembourg,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y13,13 years,OSUB,,6.23032,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,LUX,Luxembourg,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y17,17 years,READ,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,ROU,Romania,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y14,14 years,READ,,13.33333,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,LUX,Luxembourg,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y16,16 years,OSUB,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,FIN,Finland,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y7,7 years,SSCI,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,CHN,China (People’s Republic of),INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y15,15 years,OLAN,,,,L,Missing value; data exist but were not collected,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,IND,India,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y17,17 years,NCOMPUL,,,,L,Missing value; data exist but were not collected,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,DEU,Germany,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y12,12 years,VOCS,,2.20332,,A,Normal value,,,OBS,Observed,2022,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,LTU,Lithuania,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y15,15 years,NCOMPUL,,21.40017,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,IRL,Ireland,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y7,7 years,NSCI,,4,,W,Includes data from another category,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,ISR,Israel,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y14,14 years,SLAN,,11.11111,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,CZE,Czechia,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y9,9 years,SSCI,,,,K,Data included in another category,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,ESP,Spain,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y8,8 years,MATH,,18.7317,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,ISR,Israel,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y16,16 years,OSCH,,6.29468,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,SVK,Slovak Republic,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y7,7 years,PHED,,8.69565,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,TUR,Türkiye,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y17,17 years,ARTS,,4.69072,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,USA,United States,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y11,11 years,READ,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,LUX,Luxembourg,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y9,9 years,ICTS,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,SVN,Slovenia,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y13,13 years,OSCH,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,AUS,Australia,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y12,12 years,OSTU,,,,K,Data included in another category,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,BFR,French Community,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y16,16 years,ICTS,,,,K,Data included in another category,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,BGR,Bulgaria,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y11,11 years,FXTM,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,CHE,Switzerland,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y9,9 years,TECH,,,,K,Data included in another category,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,CHN,China (People’s Republic of),INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y12,12 years,RELI,,,,L,Missing value; data exist but were not collected,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,CZE,Czechia,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y7,7 years,RELI,,,,K,Data included in another category,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,NLD,Netherlands,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y9,9 years,RELI,,,,K,Data included in another category,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,SWE,Sweden,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y11,11 years,TECH,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,TUR,Türkiye,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y16,16 years,OSUB,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,ZAF,South Africa,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y12,12 years,OSUB,,,,L,Missing value; data exist but were not collected,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,ISR,Israel,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y7,7 years,NCOMPUL,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,UKM,Scotland,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y10,10 years,PHED,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,NZL,New Zealand,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y7,7 years,ARTS,,,,O,Missing value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,OECD,OECD,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y6,6 years,MATH,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,CAN,Canada,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y15,15 years,OSTU,,,,K,Data included in another category,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,CZE,Czechia,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y15,15 years,SSCI,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,BFL,Flemish Community,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y10,10 years,RELI,,7.14286,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,BFR,French Community,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y15,15 years,PHED,,7.14286,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,CHL,Chile,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y14,14 years,NSCI,,14.55848,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,IDN,Indonesia,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y12,12 years,SLAN,,,,L,Missing value; data exist but were not collected,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,NOR,Norway,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y16,16 years,NSCI,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,ZAF,South Africa,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y6,6 years,OSUB,,,,L,Missing value; data exist but were not collected,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,ZAF,South Africa,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y8,8 years,ICTS,,,,L,Missing value; data exist but were not collected,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,DNK,Denmark,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y8,8 years,ARTS,,13.18681,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,ISR,Israel,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y10,10 years,SSCI,,,,K,Data included in another category,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,UKM,Scotland,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y11,11 years,OSUB,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,HRV,Croatia,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y13,13 years,TECH,,3.84615,,A,Normal value,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,NLD,Netherlands,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y11,11 years,OLAN,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,CHE,Switzerland,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y13,13 years,FXTM,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,CHE,Switzerland,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y15,15 years,TECH,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,ESP,Spain,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y17,17 years,SSCI,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_IT@DF_EAG_IT_SUBJ_AGE(1.1),Instruction time per subject by age,I,IRL,Ireland,INT_TIME,Instruction time,PT_INST_COM,Percentage of compulsory instruction time,INST_EDU_PUB,Public educational institutions,_Z,Not applicable,Y12,12 years,OSTU,,,,M,Missing value; data cannot exist,,,OBS,Observed,2023,,0,Zero
